period,campaign,devices,channel_mapping,bias_points_V,event_scale,status,purpose,raw_location
2026-08-27,initial manual bias series,original SIPM1 and SIPM2,SIPM1 PCB CH0; SIPM2 PCB CH2,"53.90;54.90;55.59;55.65;56.40;56.86",10000 per recorded device and point,development,First waveform shapes; height and area spectra; saturation checks,/home/muon/brDownVstudy/experiments/2026-08-27_initial_bias_waveform_series/
2026-08-31 to 2026-09-02,extended bias series,original SIPM1 and SIPM2,normal and channel-switched mappings,"53.20;54.10;55.27;56.30;56.45;56.86;57.867",mostly 20000,development and channel cross-check,Robust baseline; extra points; test device versus channel effects,/home/muon/brDownVstudy/experiments/2026-08-31_to_09-02_extended_bias_and_channel_swap/
2026-09-09,high-statistics repeats,original SIPM1 and SIPM2,switched mapping documented in run folders,"54.90;55.59",20000 and 50000,development,Check small p.e. populations and saturation with more events,/home/muon/brDownVstudy/experiments/2026-09-09_high_statistics_repeats/
2026-09-17 to 2026-09-18,automation validation,original SIPM1 and SIPM2,see run manifests,multiple,hardware tests and scan points,diagnostic,Validate PicoSDK capture; probe factor; range; trigger; sampling; Pi control,/home/muon/brDownVstudy/experiments/2026-09-17_to_18_automation_validation/
2026-09-18,first expert automated scan,original SIPM1 and SIPM2,see run manifest,multi-point scan,automated scan,accepted internally,Pedestal-constrained area spacing and complete uncertainty checks,/home/muon/brDownVstudy/experiments/2026-09-17_to_18_automation_validation/
2026-09-19 to 2026-09-21,repeat and lower-bias scans,original SIPM1 and SIPM2,see run manifests,extended below and through operating region,automated scans,mixed accepted and unresolved,Test reproducibility and locate lower resolvability boundary,/home/muon/brDownVstudy/experiments/2026-09-21_breakdown_scan_method_development/
2026-09-21,operating-point dark count,original SIPM1 and SIPM2,device-specific Vbr plus about 3 V,device operating points,large dark-event acquisition,diagnostic operating-point check,Inspect spectra; rates; waveform shape; clipping at provisional operating points,/home/muon/brDownVstudy/experiments/2026-09-21_operating_point_dark_counts/
2026-09-22,scintillator zero-event trial,original SIPM1 and SIPM2 plus two EPIC trigger tiles,scope A/B GSU gLOWCOST tiles; C/D EPIC tiles,device operating points,coincidence waveform sample,method development,Test common cosmic trigger and zero-event concept before LED measurement,/home/muon/brDownVstudy/experiments/2026-09-22_scintillator_zero_event_test/
2026-09-22,SiPM 1 (△) and SiPM 2 (★) exploratory scans,SiPM 1 (△) and SiPM 2 (★),SiPM 1 (△) PCB CH2; SiPM 2 (★) PCB CH3 with mapping checks,"52.8 to 56.8",several short and high-statistics runs,rejected or diagnostic,Discover CH3 low-trigger artifact and verify physical-device identity,/home/muon/brDownVstudy/experiments/
2026-09-23,CH3 trigger scan,device connected to PCB CH3,scope channel followed physical mapping,selected operating bias,multiple trigger settings,accepted diagnostic,Find trigger condition that restores physical p.e. spectrum,/home/muon/brDownVstudy/experiments/
2026-09-23,first clean SiPM 1 (△) and SiPM 2 (★) scan,SiPM 1 (△) and SiPM 2 (★),SiPM 1 (△) CH2; SiPM 2 (★) CH3,"54.8;55.2;55.6;56.0;56.4;56.8;57.0",high-statistics automated points,accepted,Measure both devices with corrected 25 mV CH3 trigger,/home/muon/brDownVstudy/experiments/
2026-09-23,independent SiPM 1 (△) and SiPM 2 (★) repeat,SiPM 1 (△) and SiPM 2 (★),physical mapping recorded in repeat manifest,"54.8;55.2;55.6;56.0;56.4;56.8;57.0",high-statistics automated points,accepted,Sanity check and quantify run-to-run reproducibility,/home/muon/brDownVstudy/experiments/
